Time(sec)	Current(A)
0.298771	0.239875
0.299068	0.242453
0.299364	0.240305
0.29966	0.241593
0.299957	0.241379
0.300253	0.238587
0.30055	0.240734
0.300846	0.239446
0.301142	0.241593
0.301439	0.241593
0.301735	0.242023
0.302032	0.241593
0.302328	0.242453
0.302624	0.238587
0.302921	0.240949
0.303217	0.239875
0.303514	0.240734
0.30381	0.240734
0.304106	0.24052
0.304403	0.242882
0.304699	0.23966
0.304996	0.239875
0.305292	0.240305
0.305588	0.241379
0.305885	0.2446
0.306181	0.242023
0.306478	0.241164
0.306774	0.241808
0.30707	0.241379
0.307367	0.24052
0.307663	0.237942
0.30796	0.240305
0.308256	0.242667
0.308552	0.242023
0.308849	0.238801
0.309145	0.242453
0.309442	0.242882
0.309738	0.242453
0.310034	0.240949
0.310331	0.242023
0.310627	0.243526
0.310924	0.241379
0.31122	0.240949
0.311516	0.24009
0.311813	0.243097
0.312109	0.24052
0.312406	0.241379
0.312702	0.241379
0.312998	0.239446
0.313295	0.238372
0.313591	0.241164
0.313888	0.24052
0.314184	0.244171
0.31448	0.242023
0.314777	0.240734
0.315073	0.240949
0.31537	0.240949
0.315666	0.240305
0.315962	0.241808
0.316259	0.241164
0.316555	0.240305
0.316852	0.242667
0.317148	0.239016
0.317444	0.241593
0.317741	0.238587
0.318037	0.240305
0.318334	0.239875
0.31863	0.241164
0.318926	0.240949
0.319223	0.241164
0.319519	0.23966
0.319816	0.240305
0.320112	0.24052
0.320408	0.241164
0.320705	0.243097
0.321001	0.241379
0.321298	0.23966
0.321594	0.240734
0.32189	0.239016
0.322187	0.24009
0.322483	0.239016
0.32278	0.239231
0.323076	0.238801
0.323372	0.243097
0.323669	0.242238
0.323965	0.241808
0.324262	0.242453
0.324558	0.242667
0.324854	0.240734
0.325151	0.240305
0.325447	0.239231
0.325744	0.242453
0.32604	0.245245
0.326336	0.244171
0.326633	0.242023
0.326929	0.239875
0.327226	0.240734
0.327522	0.240949
0.327818	0.258131
0.328115	0.282401
0.328411	0.258776
0.328708	0.260709
0.329004	0.260064
0.3293	0.257272
0.329597	0.254051
0.329893	0.256843
0.33019	0.256628
0.330486	0.255554
0.330782	0.255984
0.331079	0.256628
0.331375	0.252977
0.331672	0.257487
0.331968	0.255339
0.332264	0.254265
0.332561	0.257702
0.332857	0.256843
0.333154	0.255125
0.33345	0.25491
0.333746	0.259205
0.334043	0.256413
0.334339	0.257487
0.334636	0.256628
0.334932	0.255769
0.335228	0.25491
0.335525	0.254051
0.335821	0.252547
0.336118	0.257058
0.336414	0.299584
0.33671	0.287127
0.337007	0.300872
0.337303	0.292496
0.3376	0.297866
0.337896	0.328149
0.338192	0.330297
0.338489	0.3565
0.338785	0.339533
0.339082	0.33223
0.339378	0.364017
0.339674	0.281328
0.339971	0.275529
0.340267	0.311182
0.340564	0.280039
0.34086	0.261997
0.341156	0.263716
0.341453	0.275099
0.341749	0.252118
0.342046	0.263716
0.342342	0.239016
0.342638	0.241593
0.342935	0.241379
0.343231	0.240305
0.343528	0.241379
0.343824	0.24052
0.34412	0.243312
0.344417	0.241164
0.344713	0.241379
0.34501	0.240949
0.345306	0.24052
0.345602	0.242453
0.345899	0.240734
0.346195	0.240305
0.346492	0.245674
0.346788	0.23966
0.347084	0.242023
0.347381	0.241164
0.347677	0.241164
0.347974	0.241379
0.34827	0.242453
0.348566	0.238372
0.348863	0.24052
0.349159	0.237942
0.349456	0.239446
0.349752	0.23966
0.350048	0.242667
0.350345	0.241808
0.350641	0.240305
0.350938	0.243097
0.351234	0.240305
0.35153	0.241379
0.351827	0.240305
0.352123	0.240734
0.35242	0.23966
0.352716	0.241164
0.353012	0.239231
0.353309	0.242453
0.353605	0.240305
0.353902	0.24009
0.354198	0.241379
0.354494	0.239446
0.354791	0.242023
0.355087	0.239446
0.355384	0.243526
0.35568	0.242023
0.355976	0.240305
0.356273	0.241593
0.356569	0.243526
0.356866	0.242667
0.357162	0.242023
0.357458	0.240734
0.357755	0.240949
0.358051	0.241808
0.358348	0.241808
0.358644	0.242023
0.35894	0.243526
0.359237	0.242453
0.359533	0.242882
0.35983	0.239875
0.360126	0.243312
0.360422	0.238372
0.360719	0.239875
0.361015	0.238801
0.361312	0.242023
0.361608	0.244171
0.361904	0.242453
0.362201	0.241379
0.362497	0.24009
0.362794	0.241593
0.36309	0.23966
0.363386	0.239875
0.363683	0.240734
0.363979	0.241808
0.364276	0.239446
0.364572	0.242238
0.364868	0.240734
0.365165	0.242667
0.365461	0.242023
0.365758	0.242882
0.366054	0.239231
0.36635	0.23966
0.366647	0.244171
0.366943	0.244386
0.36724	0.24009
0.367536	0.241808
0.367832	0.240734
0.368129	0.239446
0.368425	0.243526
0.368722	0.239016
0.369018	0.24009
0.369314	0.240305
0.369611	0.241379
0.369907	0.238801
0.370204	0.242238
0.3705	0.240949
0.370796	0.240734
0.371093	0.243526
0.371389	0.24052
0.371686	0.238801
0.371982	0.24052
0.372278	0.241164
0.372575	0.24052
0.372871	0.239446
0.373168	0.23966
0.373464	0.238157
0.37376	0.239231
0.374057	0.240949
0.374353	0.240949
0.37465	0.240305
0.374946	0.242238
0.375242	0.239231
0.375539	0.243097
0.375835	0.241379
0.376132	0.241808
0.376428	0.239446
0.376724	0.242882
0.377021	0.240305
0.377317	0.241379
0.377614	0.242453
0.37791	0.239875
0.378206	0.238587
0.378503	0.240305
0.378799	0.240734
0.379096	0.240734
0.379392	0.241808
0.379688	0.242238
0.379985	0.240734
0.380281	0.242023
0.380578	0.239875
0.380874	0.241379
0.38117	0.240949
0.381467	0.241379
0.381763	0.243741
0.38206	0.242023
0.382356	0.243741
0.382652	0.240949
0.382949	0.238157
0.383245	0.240734
0.383542	0.242023
0.383838	0.241379
0.384134	0.241379
0.384431	0.24009
0.384727	0.239231
0.385024	0.24009
0.38532	0.240949
0.385616	0.240949
0.385913	0.241808
0.386209	0.242453
0.386506	0.243312
0.386802	0.23966
0.387098	0.244815
0.387395	0.239875
0.387691	0.242882
0.387988	0.241164
0.388284	0.243526
0.38858	0.239875
0.388877	0.242023
0.389173	0.240734
0.38947	0.23966
0.389766	0.238801
0.390062	0.241593
0.390359	0.241164
0.390655	0.242453
0.390952	0.242667
0.391248	0.241164
0.391544	0.241164
0.391841	0.241379
0.392137	0.238801
0.392434	0.240949
0.39273	0.241379
0.393026	0.240734
0.393323	0.242238
0.393619	0.241164
0.393916	0.241379
0.394212	0.238801
0.394508	0.23966
0.394805	0.242453
0.395101	0.239016
0.395398	0.242667
0.395694	0.24009
0.39599	0.23966
0.396287	0.239016
0.396583	0.239446
0.39688	0.241379
0.397176	0.243312
0.397472	0.238372
0.397769	0.239231
0.398065	0.239875
0.398362	0.242453
0.398658	0.241379
0.398954	0.23966
0.399251	0.239446
0.399547	0.240734
0.399844	0.238587
0.40014	0.241164
0.400436	0.239446
0.400733	0.240734
0.401029	0.239016
0.401326	0.241593
0.401622	0.238372
0.401918	0.242667
0.402215	0.238801
0.402511	0.239231
0.402808	0.23966
0.403104	0.239875
0.4034	0.242882
0.403697	0.239875
0.403993	0.241808
0.40429	0.24052
0.404586	0.238372
0.404882	0.241379
0.405179	0.241379
0.405475	0.242023
0.405772	0.241164
0.406068	0.23966
0.406364	0.240305
0.406661	0.240734
0.406957	0.23966
0.407254	0.244171
0.40755	0.243312
0.407846	0.24052
0.408143	0.242023
0.408439	0.242667
0.408736	0.240949
0.409032	0.240734
0.409328	0.243097
0.409625	0.239231
0.409921	0.241379
0.410218	0.23966
0.410514	0.238157
0.41081	0.239875
0.411107	0.238587
0.411403	0.240949
0.4117	0.240734
0.411996	0.240949
0.412292	0.241593
0.412589	0.242023
0.412885	0.242023
0.413182	0.242238
0.413478	0.239875
0.413774	0.241808
0.414071	0.23966
0.414367	0.242453
0.414664	0.239016
0.41496	0.240305
0.415256	0.242023
0.415553	0.241808
0.415849	0.242667
0.416146	0.241593
0.416442	0.238801
0.416738	0.241593
0.417035	0.24052
0.417331	0.239231
0.417628	0.240949
0.417924	0.238801
0.41822	0.24009
0.418517	0.241164
0.418813	0.24052
0.41911	0.24009
0.419406	0.240734
0.419702	0.239446
0.419999	0.240949
0.420295	0.24052
0.420592	0.241379
0.420888	0.240734
0.421184	0.240949
0.421481	0.241379
0.421777	0.241593
0.422074	0.239446
0.42237	0.239231
0.422666	0.240734
0.422963	0.238801
0.423259	0.24052
0.423556	0.241379
0.423852	0.241379
0.424148	0.241379
0.424445	0.241808
0.424741	0.242882
0.425038	0.240305
0.425334	0.241379
0.42563	0.2446
0.425927	0.239446
0.426223	0.240734
0.42652	0.240949
0.426816	0.23966
0.427112	0.24052
0.427409	0.241808
0.427705	0.243312
0.428002	0.24009
0.428298	0.240305
0.428594	0.243312
0.428891	0.241808
0.429187	0.240305
0.429484	0.240305
0.42978	0.239446
0.430076	0.238801
0.430373	0.238801
0.430669	0.240949
0.430966	0.241164
0.431262	0.240949
0.431558	0.23966
0.431855	0.240734
0.432151	0.239231
0.432448	0.24052
0.432744	0.238372
0.43304	0.241379
0.433337	0.238157
0.433633	0.239016
0.43393	0.239446
0.434226	0.239446
0.434522	0.242882
0.434819	0.239875
0.435115	0.241164
0.435412	0.240734
0.435708	0.237083
0.436004	0.241379
0.436301	0.240734
0.436597	0.239016
0.436894	0.241593
0.43719	0.239016
0.437486	0.239446
0.437783	0.24009
0.438079	0.241593
0.438376	0.237942
0.438672	0.24052
0.438968	0.238372
0.439265	0.24052
0.439561	0.242238
0.439858	0.242667
0.440154	0.243741
0.44045	0.238157
0.440747	0.239446
0.441043	0.24052
0.44134	0.239231
0.441636	0.243312
0.441932	0.24009
0.442229	0.238372
0.442525	0.24052
0.442822	0.241379
0.443118	0.243097
0.443414	0.238801
0.443711	0.241379
0.444007	0.240734
0.444304	0.242238
0.4446	0.241164
0.444896	0.242667
0.445193	0.241593
0.445489	0.240949
0.445786	0.239016
0.446082	0.238372
0.446378	0.241164
0.446675	0.242238
0.446971	0.243097
0.447268	0.24052
0.447564	0.241593
0.44786	0.243526
0.448157	0.243097
0.448453	0.240734
0.44875	0.239231
0.449046	0.23966
0.449342	0.239016
0.449639	0.24052
0.449935	0.23966
0.450232	0.240305
0.450528	0.241379
0.450824	0.236868
0.451121	0.240734
0.451417	0.242667
0.451714	0.242667
0.45201	0.238157
0.452306	0.242453
0.452603	0.240305
0.452899	0.241593
0.453196	0.241379
0.453492	0.241593
0.453788	0.240305
0.454085	0.24009
0.454381	0.238801
0.454678	0.240305
0.454974	0.239016
0.45527	0.239446
0.455567	0.239231
0.455863	0.23966
0.45616	0.242023
0.456456	0.242238
0.456752	0.240734
0.457049	0.238587
0.457345	0.242023
0.457642	0.241808
0.457938	0.242667
0.458234	0.239875
0.458531	0.24052
0.458827	0.239016
0.459124	0.238372
0.45942	0.24052
0.459716	0.241808
0.460013	0.242667
0.460309	0.243097
0.460606	0.242238
0.460902	0.241593
0.461198	0.239875
0.461495	0.241593
0.461791	0.239875
0.462088	0.240734
0.462384	0.242667
0.46268	0.239446
0.462977	0.24009
0.463273	0.239016
0.46357	0.240734
0.463866	0.242453
0.464162	0.239875
0.464459	0.240305
0.464755	0.242023
0.465052	0.239231
0.465348	0.240305
0.465644	0.241164
0.465941	0.242023
0.466237	0.242023
0.466534	0.241379
0.46683	0.23966
0.467126	0.242023
0.467423	0.240949
0.467719	0.239016
0.468016	0.23966
0.468312	0.243956
0.468608	0.240305
0.468905	0.241808
0.469201	0.242238
0.469498	0.240305
0.469794	0.24052
0.47009	0.241164
0.470387	0.24009
0.470683	0.241379
0.47098	0.240949
0.471276	0.242238
0.471572	0.239446
0.471869	0.239231
0.472165	0.238801
0.472462	0.24052
0.472758	0.241808
0.473054	0.242667
0.473351	0.242238
0.473647	0.241593
0.473944	0.24052
0.47424	0.241808
0.474536	0.240734
0.474833	0.240949
0.475129	0.241593
0.475426	0.241593
0.475722	0.240949
0.476018	0.241808
0.476315	0.241164
0.476611	0.240949
0.476908	0.240949
0.477204	0.241164
0.4775	0.242882
0.477797	0.240734
0.478093	0.240949
0.47839	0.241808
0.478686	0.238801
0.478982	0.239016
0.479279	0.24052
0.479575	0.242667
0.479872	0.241808
0.480168	0.240305
0.480464	0.239875
0.480761	0.240734
0.481057	0.239231
0.481354	0.239231
0.48165	0.24052
0.481946	0.239446
0.482243	0.239231
0.482539	0.242023
0.482836	0.243312
0.483132	0.239446
0.483428	0.241593
0.483725	0.242023
0.484021	0.241164
0.484318	0.242882
0.484614	0.240949
0.48491	0.24052
0.485207	0.24009
0.485503	0.241593
0.4858	0.242238
0.486096	0.240734
0.486392	0.238372
0.486689	0.241593
0.486985	0.239231
0.487282	0.239875
0.487578	0.241379
0.487874	0.240949
0.488171	0.241593
0.488467	0.24503
0.488764	0.242238
0.48906	0.238372
0.489356	0.238157
0.489653	0.241808
0.489949	0.242667
0.490246	0.240734
0.490542	0.240949
0.490838	0.239016
0.491135	0.242023
0.491431	0.24009
0.491728	0.239016
0.492024	0.241379
0.49232	0.237727
0.492617	0.242023
0.492913	0.242238
0.49321	0.241379
0.493506	0.239231
0.493802	0.240949
0.494099	0.242023
0.494395	0.240734
0.494692	0.240305
0.494988	0.242882
0.495284	0.241164
0.495581	0.24052
0.495877	0.239875
0.496174	0.241808
0.49647	0.24052
0.496766	0.239875
0.497063	0.239016
0.497359	0.241593
0.497656	0.242882
0.497952	0.242667
0.498248	0.240949
0.498545	0.240734
0.498841	0.240949
0.499138	0.241379
0.499434	0.241379
0.49973	0.242667
0.500027	0.240734
0.500323	0.241593
0.50062	0.24009
0.500916	0.241593
0.501212	0.24052
0.501509	0.240949
0.501805	0.24009
0.502102	0.242453
0.502398	0.241593
0.502694	0.241164
0.502991	0.242882
0.503287	0.24052
0.503584	0.239875
0.50388	0.241593
0.504176	0.241379
0.504473	0.241164
0.504769	0.24009
0.505066	0.241593
0.505362	0.240949
0.505658	0.239446
0.505955	0.240734
0.506251	0.241164
0.506548	0.240949
0.506844	0.23966
0.50714	0.240305
0.507437	0.240949
0.507733	0.240949
0.50803	0.242453
0.508326	0.242023
0.508622	0.241593
0.508919	0.244171
0.509215	0.241808
0.509512	0.24052
0.509808	0.24052
0.510104	0.240305
0.510401	0.240949
0.510697	0.238157
